user_region,friend_region,scaled_sci,origin_area,origin_ec,origin_bias,origin_population,origin_clustering,origin_support_ratio,origin_volunteering,origin_civic_orgs,destination_area,destination_ec,destination_bias,destination_population,destination_clustering,destination_support_ratio,destination_volunteering,destination_civic_orgs,log_sci,tie_type
11203,11210,900245,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.82625002,0.095210001,67040,0.077760004,0.82954001,0.040259998,0.01037,13.710423338291,Brooklyn-Brooklyn
11203,11211,138749,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.95236999,0.43825999,102624,0.079460002,0.71789998,0.068659998,0.00367,11.8404290316087,Brooklyn-Brooklyn
11203,11212,1230311,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.70480001,0.30224001,76527,0.068539999,0.90121001,0.018130001,0.00242,14.0227783537193,Brooklyn-Brooklyn
11203,11213,979294,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.78153998,0.2911,66295,0.076619998,0.85219997,0.061889999,0.0078600002,13.7945882040081,Brooklyn-Brooklyn
11203,11214,71717,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.79708999,0.35567999,92946,0.083509997,0.83881003,0.038309999,0.00321,11.180497041106,Brooklyn-Brooklyn
11203,11215,146177,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,1.03,0.39353999,70156,0.07333,0.59446001,0.11368,0.0081599997,11.8925803361786,Brooklyn-Brooklyn
11203,11216,604830,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.81022,0.55247998,56308,0.075560004,0.71713001,0.10086,0.0081799999,13.3127043591476,Brooklyn-Brooklyn
11203,11217,297803,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.83971,0.52686,41407,0.071249999,0.61962998,0.095579997,0.0091800001,12.6041908309753,Brooklyn-Brooklyn
11203,11218,214279,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.75493002,0.53125,74508,0.079020001,0.81849003,0.087789997,0.00346,12.2750388499949,Brooklyn-Brooklyn
11203,11219,115822,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.70204002,0.35536999,90036,0.085479997,0.72267002,0.03579,0.0057199998,11.6598184427065,Brooklyn-Brooklyn
11203,11220,72947,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.60855001,0.49384001,95643,0.077079996,0.82143003,0.041839998,0.0056500002,11.1975021375367,Brooklyn-Brooklyn
11203,11221,391461,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.75072998,0.48818001,83835,0.077660002,0.73904997,0.071910001,0.0048500001,12.8776437271223,Brooklyn-Brooklyn
11203,11222,108309,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,1.10111,0.24015,36492,0.075759999,0.67514002,0.080239996,0.00538,11.5927527648298,Brooklyn-Brooklyn
11203,11223,128552,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.82950997,0.23672999,81789,0.097560003,0.91034001,0.037160002,0.0057600001,11.7640965496446,Brooklyn-Brooklyn
11203,11224,435062,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.77038002,0.32268,46707,0.075709999,0.94862002,0.032559998,0.0054500001,12.9832461271705,Brooklyn-Brooklyn
11203,11225,858700,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.87625003,0.37074,58882,0.07824,0.77099001,0.088009998,0.00997,13.663176061211,Brooklyn-Brooklyn
11203,11226,944045,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.75531,0.31290001,100277,0.072329998,0.82736999,0.066229999,0.00391,13.757930172754,Brooklyn-Brooklyn
11203,11228,74138,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.91706002,0.0029500001,44994,0.081720002,0.87285,0.050670002,0.0072400002,11.2136969886181,Brooklyn-Brooklyn
11203,11229,197952,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.92666,0.16892,83615,0.088940002,0.90487999,0.043930002,0.00397,12.1957849077617,Brooklyn-Brooklyn
11203,11230,193844,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.88208002,0.23476,89075,0.092660002,0.85626,0.059220001,0.0087799998,12.1748141496274,Brooklyn-Brooklyn
11203,11231,262415,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.79536998,0.53599,37845,0.07158,0.83582002,0.089230001,0.0096199997,12.4776863098029,Brooklyn-Brooklyn
11203,11232,107480,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.62026,0.54479003,27602,0.071610004,0.66487998,0.063560002,0.01567,11.5850693667427,Brooklyn-Brooklyn
11203,11233,899634,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.74489999,0.34343001,76819,0.069009997,0.81471002,0.04851,0.0057199998,13.709744404491,Brooklyn-Brooklyn
11203,11234,846187,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.8951,0.06095,95666,0.080169998,0.90807998,0.038860001,0.0076000001,13.6484968361229,Brooklyn-Brooklyn
11203,11235,85155,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.94300997,0.18359999,78128,0.082489997,0.91005999,0.043340001,0.0074200002,11.3522401474956,Brooklyn-Brooklyn
11203,11236,1445680,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.75795001,0.00136,100331,0.074110001,0.88485998,0.02307,0.0054199998,14.1840910487878,Brooklyn-Brooklyn
11203,11237,107265,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.65065002,0.61839002,49310,0.081160001,0.72342002,0.067160003,0.0021899999,11.5830670098126,Brooklyn-Brooklyn
11203,11238,399812,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.90987003,0.50184,54540,0.07254,0.61817998,0.11198,0.0025599999,12.8987522167779,Brooklyn-Brooklyn
11205,10026,229834,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.74800003,0.39761999,39363,0.071170002,0.79121,0.070969999,0.0092099998,12.3451169391527,Brooklyn-Harlem
11205,10027,188744,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.78485,0.38608,64548,0.076480001,0.80201,0.077590004,0.021989999,12.1481521766942,Brooklyn-Harlem
11205,10029,168542,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.88010001,0.43557999,79597,0.073399998,0.87133002,0.0473,0.0057399999,12.0349461890967,Brooklyn-Harlem
11205,10030,223508,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.67477,0.33116999,29882,0.070330001,0.82393998,0.053180002,0.016349999,12.3172069606814,Brooklyn-Harlem
11205,10031,147150,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.74668002,0.31459999,60254,0.071039997,0.78671998,0.069849998,0.00654,11.8992145494251,Brooklyn-Harlem
11205,10035,205119,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.72060001,0.39825001,35743,0.068190001,0.82261997,0.046080001,0.01853,12.2313504527144,Brooklyn-Harlem
11205,10037,255995,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.77882999,0.41824001,21139,0.067309998,0.81145,0.053289998,0.00019000001,12.4529170983396,Brooklyn-Harlem
11205,10039,252319,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Harlem,0.70666999,0.23648,27726,0.067460001,0.84428,0.03661,0.00060999999,12.4384534021969,Brooklyn-Harlem
11205,11201,430320,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,12.9722867207964,Brooklyn-Brooklyn
11205,11203,402287,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,12.9049235290068,Brooklyn-Brooklyn
