tract,state,county,study_region,mean_commute_time,short_commute_share,job_density_2013,jobs_within_5mi,highpay_jobs_5mi,pop_density_2010,rent_2bed_2015,med_income_2016
00000099600,36,47,Brooklyn Baseline,56.171703,0.053964756,479.45206,372321,142421,49739.727,1224,69444
00000099800,36,47,Brooklyn Baseline,51.638191,0,672.83948,350368,132216,23358.025,1605,71829
00000100400,36,47,Brooklyn Baseline,53.411339,0.033908755,196.07843,329606,124801,50333.336,1489,68700
00000100600,36,47,Brooklyn Baseline,50.915817,0.044154231,372.88135,328943,126507,42186.441,1538,78304
00000100800,36,47,Brooklyn Baseline,52.384064,0.13596059,894.73682,324138,125713,37263.156,1325,62794
00000101000,36,47,Brooklyn Baseline,53.993603,0.083086051,1681.8182,306836,118442,35121.211,1543,59386
00000101200,36,47,Brooklyn Baseline,54.617325,0.012974977,548.38708,319520,125572,31161.291,1292,54375
00000101400,36,47,Brooklyn Baseline,49.257607,0.085354023,133.33334,300679,118945,36000,1336,60625
00000101600,36,47,Brooklyn Baseline,46.068695,0.0076335878,837.20929,298626,118498,34046.512,1097,98821
00000101800,36,47,Brooklyn Baseline,52.226467,0.074766353,1293.578,285952,113432,16981.652,1538,71650
00000102000,36,47,Brooklyn Baseline,47.49361,0.061728396,32.786884,277573,109255,31508.197,1690,96000
00000102200,36,47,Brooklyn Baseline,48.593342,0.038306452,1809.5238,281153,109256,32936.508,1321,63000
00000102400,36,47,Brooklyn Baseline,47.267941,0.17550506,945.45453,290513,111769,38600,1416,83641
00000102600,36,47,Brooklyn Baseline,55.354458,0.034901366,96.153847,303769,114199,53288.461,1376,72589
00000102800,36,47,Brooklyn Baseline,49.129986,0.088505745,679.38928,274434,104734,4017.8115,1516,73000
00000103400,36,47,Brooklyn Baseline,53.538834,0.083864115,206.22568,250279,99270,15245.136,NA,23133
00000105801,36,47,Brooklyn Baseline,51.899826,0.052340426,440.9938,315515,130892,43031.055,842,20305
00000105804,36,47,Brooklyn Baseline,51.89983,0.11743589,4710.8843,284712,115804,21857.143,NA,28663
00000107000,36,47,Brooklyn Baseline,NA,0.30476192,3069.5876,275238,119082,276.63229,1292,80663
